venue_name,address,district,opened_year,closed_year,status,reason_cited,reason_category,capacity,source_url,source_outlet,source_date,notes
Antone's Nightclub (E. Fifth),305 E. Fifth St.,Downtown,2016,,reopened,"Reopened New Year's Eve 2015/January 2016 in the two-story Maxey Glass Company building, blocks from the 1975 original site",,,https://austin.culturemap.com/news/entertainment/01-12-16-exclusive-photos-first-inside-look-antones-new-location-fifth-steet-downtown/,CultureMap Austin,2016-01-12,Listed on the City's Iconic Venue Fund founding-resolution priority list. Via WebSearch summary; page not directly fetched.
Barracuda,611 E. Seventh St.,East Sixth/Seventh,2016,2020,closed,Rising rents plus COVID-19 shutdown; operators could not meet rent obligations,covid,,https://austin.culturemap.com/news/entertainment/06-10-20-downtown-austin-music-venue-shutters-barracuda/,CultureMap Austin,2020-06-10,Opened in the former Red 7 space. Announced permanent closure June 2020 alongside Plush and Scratchouse. BrooklynVegan companion article returned HTTP 403.
Scratchouse,617 E. Seventh St.,East Sixth/Seventh,2016,2020,closed,High rents and COVID-19; announced closure hours after neighbors Plush and Barracuda,covid,,https://austin.culturemap.com/news/restaurants-bars/06-11-20-another-popular-austin-music-venue-shutters-blaming-high-rents-and-covid-19-crisis/,CultureMap Austin,2020-06-11,Occupied space previously home to Beauty Bar and Holy Mountain. 18-and-up hip-hop/electronic club. Via WebSearch summary; page not directly fetched.
Rio Rita,1308 E. Sixth St.,East Austin,,2016,closed_relocated,"Priced out of East Sixth Street by rising rents; reopened at 1203 Chicon St. on Dec 13, 2016",rent_increase,,https://austin.culturemap.com/news/restaurants-bars/12-14-16-rio-rita-lounge-open-12th-chicon/,CultureMap Austin,2016-12-14,Chicon Street location later also closed (date not verified). Via WebSearch summary; page not directly fetched.
Saxon Pub,1320 S. Lamar Blvd.,South Lamar,1990,,still_open,"Planned to move in 2014 because of rising rent; property purchased in 2016 by Keller Williams co-founder Gary Keller, who deed-restricted it and held rent down",rent_increase,,https://en.wikipedia.org/wiki/Saxon_Pub,Wikipedia,,Rescue-by-patron case. Opening year and address via WebSearch summary; page not directly fetched. Treat 1990 as unconfirmed.
Threadgill's World Headquarters (Riverside),W. Riverside Dr.,Riverside,1996,2018,closed,"Owner Eddie Wilson said rent over $40,000/month had become untenable",rent_increase,,https://texashighways.com/travel/the-original-threadgills-closes-marking-the-end-of-a-defining-cultural-era-in-austin/,Texas Highways,,"Site sits near the former Armadillo World Headquarters. Rank & Revue dates the run '1981-2018', conflicting with the 1996 opening date; conflict unresolved. Via WebSearch summary."
Beerland,711 Red River St.,Red River Cultural District,2001,2019,closed,"Owner Richard Lynn announced sale of the 18-year-old punk club on May 28, 2019; staff struck over wages unpaid since March and the club never reopened under that name",financial,,https://www.austinchronicle.com/daily/music/2019-05-31/behind-the-beerland-strike/,Austin Chronicle,2019-05-31,"Founders Randall & Donya Stockton sold to Lynn in late 2017. Community raised ~$18,000 in back wages. Stubb's GM Ryan Garrett took over the lease in Oct 2019."
Far Out Lounge & Stage,8504 S. Congress Ave.,South Congress,2019,,opened,Opened by Bay Anthon and Pedro Carvalho on a historic South Austin roadhouse site,,,https://communityimpact.com/austin/southwest-austin-dripping-springs/business/2021/09/24/far-out-lounge-owner-of-venue-with-history-hopes-to-keep-south-austin-spirit-alive/,Community Impact,2021-09-24,Via WebSearch summary; page not directly fetched.
Threadgill's Old No. 1,6416 N. Lamar Blvd.,North Lamar,1933,2020,closed,Eddie and Sandra Wilson closed permanently in 2020 amid COVID-19 restrictions,covid,,https://www.austinchronicle.com/music/threadgills-old-no-1-closes-permanently-12101822/,Austin Chronicle,2020-04-24,"Site where Janis Joplin performed early in her career; gas station from 1933, restaurant from 1981."
Shady Grove,1624 Barton Springs Rd.,Zilker/Barton Springs,,2020,closed,Closed permanently during the COVID-19 shutdown,covid,,https://www.austinchronicle.com/music/2020-09-25/faster-than-sound-its-now-or-never-for-a-music-venue-preservation-fund/,Austin Chronicle,2020-09-24,Home of the 'Unplugged at the Grove' series. Address via general knowledge of the site; treat as unconfirmed.
Plush,617 Red River St.,Red River Cultural District,2000,2020,closed,GM Ryan Cunningham cited 'the combination of ever-rising prices and new regulations'; closed May 2020,covid,,https://communityimpact.com/austin/central-austin/impacts/2020/06/08/red-river-nightclub-plush-announces-permanent-closure/,Community Impact,2020-06-08,"Capacity 105. Space was Blue Flamingo 1992-2000, Plush 2000-2020, Chess Club from 2022."
The North Door,502 Brushy St.,East Austin/Brushy,,2020,closed,Announced it would not reopen after the COVID-19 shutdown,covid,,https://communityimpact.com/austin/central-austin/business/2020/09/14/downtown-austin-closings-pink-avocado-catering-mugshots-the-north-door-will-not-reopen/,Community Impact,2020-09-14,Music and comedy venue near Brushy and E. Fifth. Address via WebSearch summary; treat as unconfirmed.
One-2-One Bar,1509 S. Lamar Blvd.,South Lamar,,2020,closed,Listed by the Chronicle among venues permanently closed during the COVID-19 shutdown,covid,,https://www.austinchronicle.com/music/2020-09-25/faster-than-sound-its-now-or-never-for-a-music-venue-preservation-fund/,Austin Chronicle,2020-09-24,Address unconfirmed. A separate search returned listings suggesting continued Lamar-area operation; closure date not independently confirmed.
B.D. Riley's (E. Sixth),204 E. Sixth St.,Downtown/6th,,2020,closed,Closed permanently during the COVID-19 shutdown,covid,,https://www.kxan.com/news/business/east-6th-streets-b-d-rileys-irish-pub-dirty-dog-bar-closing-doors-permanently/,KXAN,2020,Irish pub with regular live music. Operation later continued at a Mueller location. Address unconfirmed.
Dirty Dog Bar,505 E. Sixth St.,Downtown/6th,,2020,closed,"Lost revenue from March 2020 onward with no end in sight; lease was set to end Aug 31, 2020",covid,,https://www.kxan.com/news/business/east-6th-streets-b-d-rileys-irish-pub-dirty-dog-bar-closing-doors-permanently/,KXAN,2020,Address from Yelp listing retrieved via WebSearch.
The Townsend,718 Congress Ave.,Downtown,,2020,closed,Closed permanently during the COVID-19 shutdown,covid,,https://www.austinchronicle.com/music/2020-09-25/faster-than-sound-its-now-or-never-for-a-music-venue-preservation-fund/,Austin Chronicle,2020-09-24,Address unconfirmed.
Buffalo Billiards,201 E. Sixth St.,Downtown/6th,,2020,closed,Closed permanently during the COVID-19 shutdown,covid,,https://www.austinchronicle.com/music/2020-09-25/faster-than-sound-its-now-or-never-for-a-music-venue-preservation-fund/,Austin Chronicle,2020-09-24,Address unconfirmed.
Unit 108,Bastrop Hwy.,Southeast Austin,,2020,closed,"COVID-19 complications plus an uncooperative landlord; DIY venue faced eviction and a co-founder was sued for roughly $7,000 in unpaid rent",covid,,https://www.austinchronicle.com/music/faster-than-sound-austin-music-venues-are-out-of-money-11777766/,Austin Chronicle,2020-06-18,DIY/all-ages space.
Spider House Cafe,2906 Fruth St.,North Campus/Hyde Park,,2020,closed,Closed March 2020 in the pandemic and never reopened; property sold to landowner Jimmy Nassour in Feb 2021 and later became Tweedy's,covid,,https://www.kvue.com/article/money/business/spider-house-cafe-permanently-closed-ballroom-remains/269-39555d13-55dc-437f-bd9a-5226f2c379be,KVUE,,The adjacent Spider House Ballroom stayed open as a separate venue.
Spider House Ballroom,2906 Fruth St.,North Campus/Hyde Park,,,still_open,Remained open as a separate venue after the adjoining Spider House Cafe closed in 2020; management taken over by a group of Austin bar and venue operators,,,https://austin.culturemap.com/news/entertainment/29th-street-ballroom-management-team/,CultureMap Austin,,Via WebSearch summary; page not directly fetched.
Green Jay,711 Red River St.,Red River Cultural District,2020,2022,closed,Opened January 2020 in the renovated former Beerland space by Stubb's GM Ryan Garrett and Ned Stewart; space taken over by the 13th Floor in September 2022,unknown,,https://www.austinchronicle.com/music/the-13th-floor-moves-to-711-red-river-formerly-beerland-and-the-green-jay-12833777/,Austin Chronicle,2022-08-29,Opened weeks before the pandemic shutdown. Reason for its own end not stated in the source.
Meanwhile Brewing Co.,3901 Promontory Point Dr.,Southeast Austin,2020,,opened,"4-acre brewery opened Oct 16, 2020 with a stage and sound system designed with help from Red River venue Mohawk",,,https://austin.culturemap.com/news/restaurants-bars/10-14-20-south-austin-meanwhile-brewery-family-friendly-patio/,CultureMap Austin,2020-10-14,Non-traditional venue type (brewery with programmed stage). Via WebSearch summary; page not directly fetched.
Nutty Brown Cafe & Amphitheatre,12225 W. Hwy. 290,Southwest Austin / Dripping Springs,,2021,closed_relocated,"Closed Nov 28, 2021 after more than 20 years to relocate to a $10M venue in Round Rock",,,https://communityimpact.com/austin/southwest-austin-dripping-springs/arts-entertainment/2021/09/27/nutty-brown-amphitheatre-announces-nov-28-closure-final-shows-before-move-to-round-rock/,Community Impact,2021-09-27,"Round Rock relocation slipped repeatedly (2018 incentive agreement targeted end-2019, extended in 2019). Address unconfirmed."
Round Rock Amp (former Nutty Brown),,Round Rock (outside Austin),2022,,opened,"Rebranded from Nutty Brown Amphitheatre; rebranding announced Feb 1, 2022",,,https://communityimpact.com/austin/round-rock/arts-entertainment/2022/02/01/former-nutty-brown-music-venue-rebranding-to-be-known-as-round-rock-amp/,Community Impact,2022-02-01,"OUTSIDE AUSTIN city limits - Round Rock, Williamson County. Included to track the relocation."
The Concourse Project,,Southeast Austin / Airport area,2021,,opened,New purpose-built indoor/outdoor electronic music venue near the airport's south terminal,,2000,https://www.austinchronicle.com/music/the-concourse-project-brings-the-raver-spirit-back-to-austin-12124655/,Austin Chronicle,,Opening year given as ~2021 across listings; exact opening date not confirmed. Via WebSearch summary; page not directly fetched.
Chess Club,617 Red River St.,Red River Cultural District,2022,,opened,"Opened by the team behind Barracuda (Jason McNeely, Brian Tweedy) plus Max Vandever and Cliff White in the former Plush space; soft opening at SXSW 2022",,105,https://www.austinchronicle.com/daily/music/2022-03-10/team-behind-barracuda-to-open-chess-club-in-former-plush-location/,Austin Chronicle,2022-03-10,Direct successor tenancy: Blue Flamingo (1992-2000) then Plush (2000-2020) then Chess Club (2022- ).
The 13th Floor,711 Red River St.,Red River Cultural District,2022,,opened,"Relocated in September 2022 from 1812 E. 12th St. to the larger former Beerland/Green Jay space, adding a stage; co-owner also cited frustration with a new corporate landlord at the old site",,,https://www.austinchronicle.com/music/the-13th-floor-moves-to-711-red-river-formerly-beerland-and-the-green-jay-12833777/,Austin Chronicle,2022-08-29,"Original E. 12th St. location opened March 3, 2018."
The Cut,715 Red River St.,Red River Cultural District,2023,,opened,"Members-only after-hours DJ club (2-6am) opened January 2023 in the former Sidewinder space by Miguel Harlaque, Bruce Williams and Glenn Williams",,150 members,https://www.austinchronicle.com/daily/music/2023-01-13/former-sidewinder-space-now-open-as-after-hours-club-the-cut/,Austin Chronicle,2023-01-13,"Operates without a liquor license, earning revenue from $40+ tickets. Space between 2018 and 2023 briefly held cocktail bar Birdie Num Nums."
Hole in the Wall,2538 Guadalupe St.,UT / The Drag,1974,,still_open,"Signed a 20-year lease on Aug 15, 2023 after a $1.6 million City of Austin Iconic Venue Fund investment - the fund's first award",,,https://www.austinchronicle.com/music/2023-08-25/what-hole-in-the-walls-freshly-inked-20-year-lease-means-for-other-at-risk-venues/,Austin Chronicle,2023-08-24,Previously closed July 2002-May 2003 and faced a near-closure threat in 2015. Address via general listings; treat as unconfirmed.
Long Play Lounge East,,East Cesar Chavez,,2023,closed_relocated,Rebranded as the Coral Snake in May 2023,,,https://www.austinchronicle.com/music/long-play-lounge-east-evolves-into-new-music-venue-the-coral-snake-12834439/,Austin Chronicle,2023,Rebrand rather than a closure of the physical space. Via WebSearch summary; page not directly fetched.
The Parlor,4301 Guadalupe St.,North Austin / Hyde Park,2006,2024,closed,"Longtime landlord died and the building went up for sale; operators were offered it for $3 million but could not raise the roughly $60,000 down payment",sale_of_property,,https://www.kut.org/austin/2024-12-18/austin-texas-closed-businesses-2024,KUT,2024-12-18,"Pizzeria and music venue; closed April 2024 after more than 20 years. Family ran a GoFundMe seeking $100,000."
Hi Hat Public House,,East Austin,2012,2024,closed,Closed July 2024 after 12 years; reason not stated in the source,unknown,,https://www.kut.org/austin/2024-12-18/austin-texas-closed-businesses-2024,KUT,2024-12-18,Opening year inferred from '12 years operating' as of a July 2024 closure.
Giddy Ups,12010 Menchaca Rd.,South Austin / Menchaca,1996,2024,closed_relocated,Landlords declined to renew the lease; owners framed the redevelopment as displacement,lease_expiration,,https://www.kut.org/austin/2024-12-18/austin-texas-closed-businesses-2024,KUT,2024-12-18,Closed August 2024 after 28 years. Founder Nancy M. Morgan bought it in 1996 and died in 2023.
The Lost Well (Webberville),2421 Webberville Rd.,East Austin,2013,2024,closed_relocated,Landlord sold the building tied to I-35 expansion; club was given 60 days to vacate,sale_of_property,,https://www.austinchronicle.com/music/closures-abound-for-beloved-austin-hangouts-and-more-culture-news-13284302/,Austin Chronicle,2024-10-24,"Punk/metal venue; final shows through Oct 27, 2024 after 11 years. Owner Marcello Murphy. KUT's year-end list attributes the closure to non-renewal of lease; Chronicle attributes it to the I-35 sale - both cite the landlord selling."
Stars Cafe,3101 N. I-35,Central Austin / I-35,,2024,closed_relocated,"Displaced by the I-35 highway expansion project; closed Nov 10, 2024 after more than 50 years with plans to relocate",redevelopment,,https://www.austinchronicle.com/music/closures-abound-for-beloved-austin-hangouts-and-more-culture-news-13284302/,Austin Chronicle,2024-10-24,Cafe with live programming; included as an I-35 expansion displacement data point.
Club Eternal,207 W. Fourth St.,Downtown / Fourth St.,,2024,closed,"Lease renewal offered on 'less-than-favorable' terms; closed Nov 9, 2024",lease_expiration,,https://www.austinchronicle.com/music/closures-abound-for-beloved-austin-hangouts-and-more-culture-news-13284302/,Austin Chronicle,2024-10-24,DIY dance venue run by Matthew Shogi and Alexandra Damalas. Final event featured Detroit techno artist 2Lanes.
Empire Control Room & Garage,604-606 E. Seventh St.,East Sixth/Seventh,2013,,at_risk,"Rally Austin lent the operators $2.2M in Oct 2024 to buy the Garage property; by Jan 2026 the venue was disputing $103,701.77 in delinquent property taxes amid lawsuits alleging misappropriation of funds, after cutting ~20% of staff in Dec 2025",financial,,https://www.austinchronicle.com/music/a-threat-to-the-empire/,Austin Chronicle,2026-01-15,"Also survived a 2018-2019 threat when World Class Capital's Nate Paul negotiated to buy the landlord's property, then withdrew."
Coconut Club,310B Colorado St.,Downtown / Fourth St.,,,at_risk,"Site slated for demolition for Hanover Company's 40-story, 400-unit mixed-use tower; Colorado Street buildings to be fully demolished while Fourth Street facades are preserved",redevelopment,,https://www.kut.org/business/2023-12-05/coconut-club-is-still-on-track-to-close-down,KUT,2023-12-05,Demolition announced spring 2022; still operating as of Dec 2023 and still showing hours in mid-2026 listings. Closure repeatedly delayed - final date not verified.
The Coral Snake,,East Cesar Chavez,2023,2025,closed,"Owner Will Tanner shut the venue down suddenly after opting not to renew the liquor license, which expired Jan 15, 2025",permit_regulatory,,https://austinchronicle.com/daily/music/2025-01-21/eastside-venue-the-coral-snake-has-closed,Austin Chronicle,2025-01-21,Rebranded from Long Play Lounge East in May 2023; closed after roughly 20 months. All scheduled events cancelled.
Outer Heaven,,East Austin,,2025,closed,Landlords demolishing the building for luxury condos; closure announced October 2024 for early 2025,redevelopment,,https://www.kut.org/austin/2024-12-18/austin-texas-closed-businesses-2024,KUT,2024-12-18,Exact 2025 closing date not verified.
The Lost Well (Airport Blvd),1141 Airport Blvd.,Airport Blvd,2025,,reopened,"Reopened Aug 15, 2025 in the former Tropicana space with better load-in, more bar space and a larger lot; owner says ~90% of the buildout was volunteered",,,https://www.austinchronicle.com/columns/in-the-pocket-the-lost-well-relocates-to-its-dream-home-on-airport-13406522/,Austin Chronicle,2025-08-14,Owners Marcello Murphy and Miguel Jimenez. Reopening timed to the venue's 12th anniversary.
The Parish,501 Brushy St.,East Austin/Brushy,2022,,at_risk,Co-owner Stephen Sternschein said rent is unaffordable for a room its size even with a 'fantastic landlord' - a sold-out show nets about $800 after bands are paid; venue is seeking a new home and wants to own the property,rent_increase,,https://www.austinchronicle.com/daily/music/2025-05-15/live-music-venue-parish-is-moving-again/,Austin Chronicle,2025-05-15,Second relocation in five years; originally a Sixth Street room. Brushy St. location was to stay open through 2025. Building later reimagined as Brushy Street Commons.
Cheer Up Charlies,900 Red River St.,Red River Cultural District,,,at_risk,"Ran about $58,000 behind on rent in Aug 2025 and warned it would close without emergency fundraising; landlord locked owners out Mar 11, 2026 over $15,529.58 past due, one day before SXSW, before access was restored",rent_increase,,https://www.austinchronicle.com/music/cheer-up-charlies-owners-locked-out-of-building-the-day-before-sxsw/,Austin Chronicle,2026-03-11,"LGBTQ+ anchor venue. A Pride Holdings Group acquisition announced Oct 2025 was mutually terminated Nov 4, 2025. Monthly rent reported above $15,000."
Hideout Theatre,617 Congress Ave.,Downtown,,2026,closed,Closed its longtime downtown location in March 2026,unknown,,https://austin.culturemap.com/news/city-life/popular-stories-hideout-theater-closed/,CultureMap Austin,2026,Improv/comedy theater with live performance programming rather than a music venue. Address and reason unconfirmed; via WebSearch summary.
Giddy Ups (Old Manchaca),10509 Old Manchaca Rd.,South Austin / Manchaca,2026,,reopened,"Reopened roughly two miles from the original site under new ownership (Anna Bosworth, Roy Antognini, Carissa Bunker) in June 2026",,,https://www.austinchronicle.com/columns/in-the-pocket/giddy-ups-trots-into-new-location/,Austin Chronicle,2026-05-21,Reopening described as planned for June 2026 at time of publication; confirm it actually opened.
Mohawk,912 Red River St.,Red River Cultural District,2006,,still_open,Open; founder James Moody describes revenue growth from a pandemic 'crater',,,https://www.austinchronicle.com/music/why-venues-are-struggling-to-stay-open-in-the-live-music-capital-of-the-world-13283901/,Austin Chronicle,2024-07-11,Address via general listings; treat as unconfirmed.
Stubb's Bar-B-Q,801 Red River St.,Red River Cultural District,,,still_open,Open; on the Iconic Venue Fund founding-resolution priority list,,,https://www.austinchronicle.com/music/why-venues-are-struggling-to-stay-open-in-the-live-music-capital-of-the-world-13283901/,Austin Chronicle,2024-07-11,"Chronicle gives capacity 2,200. Address unconfirmed."
Elysium,705 Red River St.,Red River Cultural District,,,still_open,Open; goth-oriented Red River club,,,https://www.austinchronicle.com/music/why-venues-are-struggling-to-stay-open-in-the-live-music-capital-of-the-world-13283901/,Austin Chronicle,2024-07-11,Address unconfirmed.
Swan Dive,615 Red River St.,Red River Cultural District,,,still_open,Open; Hot Summer Nights participant,,,https://www.austinchronicle.com/music/why-venues-are-struggling-to-stay-open-in-the-live-music-capital-of-the-world-13283901/,Austin Chronicle,2024-07-11,Address unconfirmed.
Flamingo Cantina,515 E. Sixth St.,Downtown/6th,,,still_open,Open; Hot Summer Nights participant,,,https://www.austinchronicle.com/music/why-venues-are-struggling-to-stay-open-in-the-live-music-capital-of-the-world-13283901/,Austin Chronicle,2024-07-11,Address unconfirmed.
Valhalla,710 Red River St.,Red River Cultural District,,,still_open,Open; rock-focused Red River bar,,,https://www.austinchronicle.com/music/why-venues-are-struggling-to-stay-open-in-the-live-music-capital-of-the-world-13283901/,Austin Chronicle,2024-07-11,Address unconfirmed.
Hotel Vegas,1500 E. Sixth St.,East Austin,,,still_open,"Open; received over $40,000 in 2020 City of Austin COVID venue relief",,,https://www.austinchronicle.com/music/2020-09-25/faster-than-sound-its-now-or-never-for-a-music-venue-preservation-fund/,Austin Chronicle,2020-09-24,Address unconfirmed.
Continental Club,1315 S. Congress Ave.,South Congress,1955,,still_open,"Open; reported ~$18,000/month in fixed costs during the 2020 shutdown; on the Iconic Venue Fund priority list",,,https://www.austinchronicle.com/music/2020-09-25/faster-than-sound-its-now-or-never-for-a-music-venue-preservation-fund/,Austin Chronicle,2020-09-24,Opening year and address via general listings; treat as unconfirmed.
The Broken Spoke,3201 S. Lamar Blvd.,South Lamar,1964,,still_open,Open; on the Iconic Venue Fund priority list and a City heritage preservation grant recipient; now flanked by dense redevelopment,,,https://www.austinchronicle.com/music/2023-08-25/what-hole-in-the-walls-freshly-inked-20-year-lease-means-for-other-at-risk-venues/,Austin Chronicle,2023-08-24,Opened 1964 by James and Annetta White per Wikipedia via WebSearch.
Historic Victory Grill,1104 E. 11th St.,East Austin / East 11th,1945,,still_open,"Operating as Victory East; on the Iconic Venue Fund priority list. Previously closed 1973, damaged by fire in 1988, reopened 1996 and again after 2001",,,https://www.austinchronicle.com/music/2023-08-25/what-hole-in-the-walls-freshly-inked-20-year-lease-means-for-other-at-risk-venues/,Austin Chronicle,2023-08-24,Chitlin' Circuit landmark. Prior closure/fire history via WebSearch summaries of Wikipedia and hmdb.org; not directly fetched.
Historic Scoot Inn,1308 E. Fourth St.,East Austin,2006,,still_open,"Open; began booking bands in 2006, renovated 2016, purchased by C3 Presents in 2017",,,https://theclio.com/entry/94263,Clio,,Building dates to 1871. Address unconfirmed. Via WebSearch summary; page not directly fetched.
ACL Live at the Moody Theater,310 W. Willie Nelson Blvd.,Downtown / Block 21,2011,,still_open,Open; opened February 2011 as the permanent home of the Austin City Limits TV series,,,https://en.wikipedia.org/wiki/Moody_Theater,Wikipedia,,"Capacity 2,750+. Address unconfirmed. Via WebSearch summary; page not directly fetched."
3TEN ACL Live,310 W. Willie Nelson Blvd.,Downtown / Block 21,,,still_open,Open; small room adjacent to the Moody Theater,,,https://www.acllive.com/stages/acl-live,ACL Live,,Capacity 350. A 2016 opening date was NOT confirmed in retrieved sources.
Come and Take It Live,2015 E. Riverside Dr.,East Riverside,,,still_open,Open as of mid-2026 listings; occupies the former Emo's East building,,,https://www.comeandtakeitlive.com/,Come and Take It Live,,Via WebSearch summary of listings; not directly fetched. No closure reported.
Carousel Lounge,1110 E. 52nd St.,North Austin / Windsor Park,1963,,still_open,Open as of mid-2026 listings; no closure found despite frequent rumors,,,https://carousellounge.com/,Carousel Lounge,,Checked specifically for a 2023 closure and found none. Via WebSearch summary.
