key,value,formatted,unit,source,note,module
"city_lmf_fy24_awards","136","136","count","01_evidence/04_city_programs_lmf/derived_LMF_cohort_summary.csv","FY2024 Live Music Fund awardee list: 15 x $15,000 + 104 x $30,000 (musicians/promoters) + 17 x $60,000 (venues, admitted to the fund for the first time this cycle).","city"
"city_lmf_fy24_total","4365000","$4.4M","nominal dollars","01_evidence/04_city_programs_lmf/derived_LMF_cohort_summary.csv","FY2024 Live Music Fund total awarded.","city"
"city_lmf_fy24_avg","32095.58823529412","$32,096","nominal dollars per award","01_evidence/04_city_programs_lmf/derived_LMF_cohort_summary.csv","Average masks a wide tier spread ($15,000 to $60,000) and a compositional shift: the number of funded musicians and promoters fell from 369 (FY2023) to 119, even as venues joined the fund.","city"
"city_lmf_fy25_awards","0","0","count","01_evidence/04_city_programs_lmf/page_LMF_program_page.md","No FY2025 Live Music Fund cycle ran; the official program page states “No awards made.” This is a genuine zero, not a missing observation: applications were deferred to fall 2025 and folded into the FY2026 cycle. Plotted in fig14 as a true zero-height bar with no average-award line drawn through it.","city"
"city_lmf_fy26_awards","399","399","count","01_evidence/04_city_programs_lmf/LMF_FY26_awardee_list.pdf","Document-stated headline count, “399 awards totaling $7,140,000.00.” Per this project’s mandatory accuracy constraint, the headline is used as authoritative; the list does not reconcile with itself (see city_lmf_fy26_venue_count_gap, city_lmf_fy26_musician_dollar_gap and city_lmf_fy26_subtotal_count_gap).","city"
"city_lmf_fy26_total","7140000","$7.1M","nominal dollars","01_evidence/04_city_programs_lmf/LMF_FY26_awardee_list.pdf","Document-stated headline total. The two section subtotals ($1,400,000 venues + $5,740,000 musicians/promoters) sum exactly to this figure even though the itemized musician/promoter rows do not sum to their own stated subtotal (see city_lmf_fy26_musician_dollar_gap).","city"
"city_lmf_fy26_avg","17894.73684210526","$17,895","nominal dollars per award","01_evidence/04_city_programs_lmf/LMF_FY26_awardee_list.pdf","$7,140,000 divided by the document-stated 399 awards.","city"
"city_lmf_fy26_venue_count_gap","1","21 named vs. 20 in the stated subtotal","count","01_evidence/04_city_programs_lmf/LMF_FY26_awardee_list.pdf","21 venues are individually named in the FY2026 venue section, but the section’s own subtotal line reads “Total Live Music Venues Funded: 20” with $1,400,000.00 (= 20 x $70,000, not 21 x $70,000 = $1,470,000). Verified directly against the PDF text extract.","city"
"city_lmf_fy26_musician_dollar_gap","90000","$90,000 short of the stated $5,740,000","nominal dollars","01_evidence/04_city_programs_lmf/LMF_FY26_awardee_list.pdf","The musician/promoter section states “Funded: 377 ... $5,740,000.00”; the 377 itemized rows (126 x $5,000 + 251 x $20,000 = $5,650,000) sum $90,000 short of that stated figure. The row count (377) matches exactly; only the dollar total does not.","city"
"city_lmf_fy26_subtotal_count_gap","2","399 stated vs. 397 (20+377) from the two section subtotals","count","01_evidence/04_city_programs_lmf/LMF_FY26_awardee_list.pdf","Additional inconsistency found while verifying this module (not previously logged in the evidence memo): the document’s overall headline of 399 awards does not equal the sum of its own two section-subtotal counts, 20 (venues) + 377 (musicians/promoters) = 397, nor the sum using the 21 individually named venues (398). The dollar headline ($7,140,000) does reconcile exactly with the sum of the two stated dollar subtotals ($1,400,000 + $5,740,000). This module uses the document’s overall stated headline (399 awards, $7,140,000) throughout and does not attempt to resolve the count discrepancy.","city"
"city_lmf_fy27_budget","6000000","$6.0M","nominal dollars, budgeted","01_evidence/04_city_programs_lmf/page_LMF_program_page.md","FY2027 Live Music Fund cycle: $6,000,000 available, tiers $5,000 (12-month), $20,000 (24-month), $70,000 (venues, at least $60,000 operating budget), administered by the Long Center for the Performing Arts. Applications open 2026-07-07 and close 2026-08-18 -- still open as of this module’s run date (2026-08-02) -- so no award count, total, or average exists yet. Not plotted in fig14; down from FY2026’s $7.14M.","city"
"city_lmf_fy23_applicants","660","660","count","01_evidence/04_city_programs_lmf/_findings.md","Press-reported FY2023 Live Music Fund applicant count; secondary reporting, no primary applicant tabulation was located (the FY23 summary dashboard is a JavaScript-gated Power BI embed with no static export).","city"
"city_lmf_fy23_funded_share","55.75757575757576","55.76%","percent of applicants funded","01_evidence/04_city_programs_lmf/_findings.md","368 awards (press count) divided by 660 applicants (same press source). Uses the press award count rather than the 369-row list tally so numerator and denominator trace to the same reporting.","city"
"city_lmf_fy24_applicants","1013","1,013","count","01_evidence/04_city_programs_lmf/_findings.md","Press-reported FY2024 applicant count requesting over $23 million (Austin Chronicle, 2025-03-28).","city"
"city_lmf_fy24_funded_share","11.84600197433366","11.85%","percent of applicants funded","01_evidence/04_city_programs_lmf/_findings.md","120 artists selected (press figure) divided by 1,013 applicants. The FY2024 award list itself tallies 119 musician/promoter awards (excluding the 17 venue awards new that cycle); the 1-award gap between the press figure (120) and the primary list (119) is unresolved and both are reported here for transparency.","city"
"city_lmf_fy26_applicants_not_published","0","not published","count, unavailable","01_evidence/04_city_programs_lmf/_sources.md","No applicant count for the FY2026 Live Music Fund specifically has been published. The citywide FY2026 ACME news release reports 1,606 applicants requesting over $67 million across all four programs (Elevate, Live Music Fund, CSAP, Heritage Preservation) combined, with 731 grants totaling over $24 million (about 46% of applicants funded, about 36% of requested dollars) -- but this is program-wide, not LMF-specific, and cannot be used to back out an LMF applicant count.","city"
"city_ivf_proposals","45","45","count","01_evidence/08_venues_ecosystem/_findings.md","Proposals received by Austin’s Iconic Venue Fund as of its first award, 15 Aug 2023 (Austin Chronicle, 2023-08-24). This is a capital-preservation fund managed by the Austin Economic Development Corporation, distinct from the Live Music Fund; capitalized from hotel occupancy tax revenue plus a 2018 bond package.","city"
"city_ivf_requested","300000000","more than $300M","nominal dollars, requested, floor","01_evidence/08_venues_ecosystem/_findings.md","Combined dollar amount requested across the 45 proposals; reported only as “over $300 million,” a stated floor, not an exact figure.","city"
"city_ivf_shortlisted","14","14","count","01_evidence/08_venues_ecosystem/_findings.md","Proposals shortlisted from the 45 received, as of the fund’s first award in August 2023.","city"
"city_ivf_award_2023","1600000","$1.6M","nominal dollars","01_evidence/08_venues_ecosystem/_findings.md","The fund’s first award: $1,600,000 to Hole in the Wall, 15 Aug 2023, roughly three years after the fund’s 2020 creation. 01_evidence/08_venues_ecosystem/_findings.md tags this secondary (Austin Chronicle); no primary award announcement was located.","city"
"city_ivf_requested_to_award_ratio","187.5","more than 187.5x","ratio, dollars requested to dollars awarded","01_evidence/08_venues_ecosystem/_findings.md","Dollars requested (floor of $300M) divided by the single $1.6M award, as of August 2023. Because the requested figure is itself a stated floor, the true ratio is at least this large. IMPORTANT CAVEAT: this is a snapshot at the fund’s first disbursement, not its current state -- the Open Budget data show $15,300,000 cumulative Iconic Venue Fund grants to subrecipients FY2021-FY2026 (see city_ivf_cumulative_net_nominal_fy26), meaning substantially more has been awarded since 2023. No updated post-2023 proposal count, shortlist, or award list was located, so this ratio cannot be refreshed to the present with available evidence; it measures unmet demand at the moment the fund made its first award, not unmet demand today.","city"
"city_ivf_share_proposals_funded_2023","2.222222222222222","2.22%","percent of proposals","01_evidence/08_venues_ecosystem/_findings.md","1 of 45 proposals had been funded as of August 2023 (2.2%); 14 of 45 (31.1%) had been shortlisted. Same 2023-snapshot caveat as city_ivf_requested_to_award_ratio.","city"
"city_ivf_cumulative_net_nominal_fy26","-2593098","-$2.6M","nominal dollars, cumulative FY2021-FY2026","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Iconic Venue Fund cumulative revenue minus expenditure, FY2021-FY2026, nominal (cash-flow proxy, not an audited balance, same caveat as the Live Music Fund figure). The fund is drawing down: FY2026 alone spent $2,900,000 against $4,614 in recorded revenue.","city"
"city_ivf_fy22_zero_spend","0","$0 spent vs. $2.5M collected","nominal dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Iconic Venue Fund spent $0 in FY2022 despite collecting $2,523,258 that year -- consistent with the Chronicle’s account of a roughly three-year lag between the fund’s creation and its first disbursement (August 2023), i.e. an early-implementation lag rather than an ongoing pattern.","city"
"city_csap_2020_applicants","65","65","count","01_evidence/04_city_programs_lmf/page_CSAP_program_page.md","2020 Austin Creative Space Disaster Relief Program applicants. This is the only CSAP round with a published applicant count; FY19, FY23 and FY26 award lists carry no applicant or request figures.","city"
"city_csap_2020_funded_share","49.23076923076923","49.2%","percent of applicants funded","01_evidence/04_city_programs_lmf/page_CSAP_program_page.md","32 of 65 2020 Disaster Relief applicants funded.","city"
"city_csap_2020_oversub_vs_available","3.7","3.70x","ratio, dollars requested to dollars available","01_evidence/04_city_programs_lmf/page_CSAP_program_page.md","$3.7 million requested against $1 million available in the 2020 Disaster Relief round -- the program page’s own framing (“nearly four times”).","city"
"city_csap_2020_oversub_vs_awarded","3.745155337909171","3.75x","ratio, dollars requested to dollars awarded","01_evidence/04_city_programs_lmf/page_CSAP_program_page.md","$3.7 million requested divided by the $987,943 actually disbursed to 32 of 65 applicants.","city"
"city_csap_fy19_awards","19","19 awards, $590,874","count and nominal dollars","01_evidence/04_city_programs_lmf/CSAP_FY19_awards.pdf","FY2019 Creative Space Assistance Program, range $6,248-$50,000, average $31,099. No applicant or request count published.","city"
"city_csap_fy23_awards","64","64 awards, $1,481,126","count and nominal dollars","01_evidence/04_city_programs_lmf/CSAP_FY23_awards.pdf","FY2023 CSAP, range $5,000-$50,000, average $23,143. No applicant or request count published.","city"
"city_csap_fy26_awards","22","22 awards, $1,320,000","count and nominal dollars","01_evidence/04_city_programs_lmf/CSAP_FY26_awards.pdf","FY2026 CSAP, a flat $60,000 per award (22 x $60,000 = $1,320,000 exactly). No applicant or request count published; this is one of ACME’s four FY2026 programs (Elevate, Live Music Fund, CSAP, Heritage Preservation) whose combined applicant pool was 1,606 (see city_lmf_fy26_applicants_not_published).","city"
"city_cfa_total_awards_count","6476","6,476","count, 1982-FY2023","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Total individual cultural funding awards, all fiscal years in the dataset. Cultural Funding Awards dataset: this covers the Cultural Arts Fund, NOT the Live Music Fund, and must not be read as music-program spending. Missing FY2022 entirely (confirmed: 0 rows); ends at FY2023 with nothing published since.","city"
"city_cfa_total_nominal","159323824","$159.3M","nominal dollars, 1982-FY2023, not deflated","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Sum of all 6,476 awards in the dollars originally recorded each year (mixed vintages, not comparable across decades without deflation). Cultural Funding Awards dataset: this covers the Cultural Arts Fund, NOT the Live Music Fund, and must not be read as music-program spending. Missing FY2022 entirely (confirmed: 0 rows); ends at FY2023 with nothing published since.","city"
"city_cfa_total_real_fy2000_2023","194597098.9263962","$194.6M","2025 dollars, FY2000-FY2023 only","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Real-dollar total restricted to FY2000-FY2023 (5421 of 6,476 awards; $140,140,829 nominal dollars), because BLS_CPI.dta as staged in this project carries no CPI data before calendar year 2000. FY1982-FY1999 (1,055 awards over 18 fiscal years, $19,182,995 nominal) cannot be deflated to 2025 dollars with data available in this project and are EXCLUDED from this real-dollar total; see city_cfa_pre2000_awards for their nominal-only size. Fiscal year FY_Y approximated by calendar year Y for CPI deflation (Austin FY_Y runs Oct(Y-1)-Sep(Y); 9 of 12 months fall in calendar Y). No quarterly deflator is available; this is the module-wide convention.","city"
"city_cfa_pre2000_awards","1055","1,055 awards, $19,182,995 nominal, not deflatable","count and nominal dollars, FY1982-FY1999 (18 fiscal years)","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Portion of the 6,476-award series with no available CPI deflator in this project (BLS_CPI.dta starts calendar year 2000). Could not be converted to 2025 dollars; reported nominal only. This is the one figure in this module the task’s real-2025-dollars instruction could not be fully met for.","city"
"city_cfa_fy2005","2640668","192 awards, $2.6M nominal","count and nominal dollars","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Cultural Funding Awards dataset: this covers the Cultural Arts Fund, NOT the Live Music Fund, and must not be read as music-program spending. Missing FY2022 entirely (confirmed: 0 rows); ends at FY2023 with nothing published since.","city"
"city_cfa_fy2019_peak","11511252","401 awards, $11.5M nominal, pre-pandemic peak","count and nominal dollars","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Cultural Funding Awards dataset: this covers the Cultural Arts Fund, NOT the Live Music Fund, and must not be read as music-program spending. Missing FY2022 entirely (confirmed: 0 rows); ends at FY2023 with nothing published since.","city"
"city_cfa_fy2021","5749640","$5.7M nominal","nominal dollars","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Pandemic-year trough. Cultural Funding Awards dataset: this covers the Cultural Arts Fund, NOT the Live Music Fund, and must not be read as music-program spending. Missing FY2022 entirely (confirmed: 0 rows); ends at FY2023 with nothing published since.","city"
"city_cfa_fy2023_last","10432500","288 awards, $10.4M nominal, last year in the dataset","count and nominal dollars","01_evidence/04_city_programs_lmf/socrata/x6aj-qng8_cultural_funding_awards.csv","Cultural Funding Awards dataset: this covers the Cultural Arts Fund, NOT the Live Music Fund, and must not be read as music-program spending. Missing FY2022 entirely (confirmed: 0 rows); ends at FY2023 with nothing published since.","city"
