key,value,formatted,unit,source,note,module
"quasi_svog_post_p",".9089238267990072","0.9089","p-value","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Two-sided p-value for quasi_svog_post_coef.","quasi"
"quasi_svog_latepost_coef","-.0433982530605224","-0.043","log points","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","The gap that remains once the recovery has run. Same fixed effects, but the sample keeps only the pre-pandemic blocks and the blocks two or more years after the award, so the pandemic collapse is out of both sides of the comparison. 5862 venue-months, clustered SE 0.150, p 0.7723, approximately -4.2 percent. This is the cleaner headline number, because the pooled coefficient quasi_svog_post_coef carries the 2020 collapse inside its own pre-period and is hard to read for that reason.","quasi"
"quasi_svog_intensity_coef","-.0029113261748335","-0.0029","log points per month of 2019 revenue","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","reghdfe lnreal post_x_intens, absorb(venue month) vce(cluster venue). Intensity is the award divided by mean monthly real receipts at the same venue in 2019, so one unit is one month of pre-pandemic revenue. Median award among treated venues is 7.5 months of 2019 revenue. Clustered SE 0.0091, p 0.7504, 6758 venue-months. 1 treated venue has no 2019 base and leaves this specification.","quasi"
"quasi_svog_pretrend_p_all",".279424636968697","0.2794","p-value","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Joint test that every pre-award block coefficient is zero, F = 1.25. This test spans the 2020 collapse that made these venues eligible, so a rejection is the selection rule showing up rather than a specification failure that could be argued away.","quasi"
"quasi_svog_pretrend_p_prepandemic",".9052195842797389","0.9052","p-value","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Joint test that the pre-pandemic block coefficients are zero, F = 0.26. These are the blocks that close before 2020-01 for every award month in the data. This is the test of whether recipients and non-recipients were on parallel paths before the shock, and it is the diagnostic that decides whether the design is reported as anything more than descriptive.","quasi"
"quasi_redriver_did_coef","-.0385401231277563","-0.039","log points","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","reghdfe lnreal d_a, absorb(venue month) vce(cluster venue), where d_a is pilot venue times the 2017-05 to 2017-11 window. Sample: the 5 named pilot venues against the other panel venues, 2015-01 to 2019-12, large ticketed rooms excluded, 4335 venue-months in 87 clusters. Point estimate -3.8 percent. Randomization-inference exact p = 0.6679 over 5000 permutations; clustered SE 0.106 with nominal p 0.7171, reported only as a secondary reference because five treated units make cluster-robust inference unreliable.","quasi"
"quasi_redriver_ri_p",".667866426714657","0.6679","exact p-value","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Randomization-inference p-value for quasi_redriver_did_coef. 5000 draws of five venues without replacement from the 59 panel venues filing in at least 54 of the 60 months in the window; the treatment dates are held fixed and only the assignment is permuted. Two-sided, counting placebo coefficients at least as large in absolute value, with the observed assignment included in the count.","quasi"
"quasi_redriver_ri_p_corepool",".6230753849230154","0.6231","exact p-value","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Randomization inference restricted to a pool of 41 core live-music rooms, so the placebo venues are the same kind of business as the pilot venues.","quasi"
"quasi_redriver_did_rronly",".0320604376711174","0.032","log points","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Same specification restricted to Red River Cultural District venues, so the comparison group is the neighbouring rooms that did not run extended hours. 513 venue-months in 9 clusters, clustered SE 0.151. With this few clusters the clustered SE is not trustworthy.","quasi"
"quasi_redriver_did_ordwindow",".0833032280152921","0.083","log points","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Same specification using the window the ordinance record implies, 2017-02 to 2018-04, rather than the May-to-November window the city evaluation is reported to have used. Clustered SE 0.070. The two windows disagree because the evaluation memo itself was never located; only the Law Department draft ordinance is in hand.","quasi"
"quasi_redriver_did_seasonadj",".0063636311337472","0.006","log points","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Same difference-in-differences with venue-by-month-of-year fixed effects added, which absorb the part of seasonality the two groups do not share. Clustered SE 0.098, nominal p 0.9484. This is the preferred point estimate, because the reported pilot window runs May to November and six of its seven months fall in the second half of the year, where the pilot venues are seasonally weaker than the comparison group.","quasi"
"quasi_redriver_pretrend_p",".0003215053322606","0.0003","p-value","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Joint test that the three pre-pilot half-year coefficients are zero against a 2016H2 base, F = 6.90. It rejects. Reading the coefficients shows why: every first-half block sits above every second-half block for the pilot venues relative to the comparison group, before the pilot as much as after, so the rejection is differential seasonality rather than a diverging trend.","quasi"
"quasi_redriver_pretrend_p_seasonadj",".3550870208177077","0.3551","p-value","01_evidence/04_city_programs_lmf/_txt/red_river_pilot_law_dept_2018_296553.txt with 01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","The same pre-pilot joint test once venue-by-month-of-year effects absorb differential seasonality, F = 1.10. This is the diagnostic that decides whether the design is reportable: the raw test rejects on seasonality, and this one asks whether anything is left.","quasi"
"quasi_redriver_claim_unverified","22","22%","percent, claimed","01_evidence/04_city_programs_lmf/_findings.md finding 21","The reported city evaluation of the 2017 pilot claimed a 22 percent rise in payments to local musicians, alongside 10 percent more local and regional acts booked and 13 percent fewer total tickets sold. The evaluation memo was never located and nobody has independently checked it. Mixed-beverage receipts cannot test that claim directly, because they measure alcohol sales and not the door split, so the estimate here bounds whether anything visible happened to venue revenue, not whether musician pay moved.","quasi"
"quasi_lmf_fy26_not_evaluable","21","21 venue awards","count","01_evidence/04_city_programs_lmf/_txt/LMF_FY26_awardee_list.txt","FY2026 Live Music Fund venue awards extracted from the published list. They cannot be evaluated here: the awards were announced in March 2026, the receipts panel ends 2026-06, and no 2026 CPI annual average exists, so there are at most three post-award months and no way to state them in real dollars. Note also that the published list totals 20 venues and \textdollar{}1,400,000 while the itemised lines number 21; that discrepancy is in the source document and is not resolved here.","quasi"
"quasi_lmf24_venue_awards","17","17 venues","count","01_evidence/04_city_programs_lmf/_txt/LMF_FY24_awardee_list.txt","FY2024 Live Music Fund venue awards, all at \textdollar{}60,000, extracted from the published awardee list. All 17 matched to the receipts panel. 1 of them is a large ticketed room and is held out on the same rule applied to every design here; 1 has no pre-period, having first filed in 2024-09; the remaining 15 enter the event study, of which 12 were already filing in 2019, so the 2018 and 2019 coefficients rest on a smaller treated group than the later ones. The crosswalk is at out/tables/lmf_venue_crosswalk.csv.","quasi"
"quasi_lmf24_post_coef",".0876581189882968","0.088","log points","01_evidence/04_city_programs_lmf/_txt/LMF_FY24_awardee_list.txt","reghdfe lnreal d_lmf, absorb(venue month) vce(cluster venue), where d_lmf is FY2024 venue grantee times 2024 onward. Sample: 15 grantee venues against the rest of the panel, 2018-01 to 2025-12, large ticketed rooms excluded, 6007 venue-months in 89 clusters. Point estimate 9.2 percent. Clustered SE 0.092 with nominal p 0.3435; randomization-inference exact p = 0.4513 over 2000 permutations of the grantee set across 64 eligible venues. Grants are competitively scored, so this is a conditional association, not a program effect.","quasi"
"quasi_lmf24_ri_p",".4512743628185907","0.4513","exact p-value","01_evidence/04_city_programs_lmf/_txt/LMF_FY24_awardee_list.txt","Randomization-inference p-value for quasi_lmf24_post_coef. 2000 draws of 15 venues without replacement from the 64 panel venues meeting the same filing-coverage requirement as the treated group.","quasi"
"quasi_lmf24_pretrend_p",".2587223809770891","0.2587","p-value","01_evidence/04_city_programs_lmf/_txt/LMF_FY24_awardee_list.txt","Joint test that the 2018 to 2022 annual event-study coefficients are zero against a 2023 base, F = 1.33. This covers the pandemic years, so a rejection can reflect a different pandemic path rather than a different trend.","quasi"
"quasi_lmf24_pretrend_p_prepandemic",".3557470269699864","0.3557","p-value","01_evidence/04_city_programs_lmf/_txt/LMF_FY24_awardee_list.txt","Joint test restricted to 2018 and 2019 against the 2023 base, F = 1.05. This is the pre-pandemic parallel-paths check, and it rests on the 12 of 15 grantee venues that were already filing in 2019.","quasi"
"quasi_moody_band1_coef","-.2947740622825906","-0.295","log points","01_evidence/08_venues_ecosystem/austin_sound_ordinance_permits_geo_g3rj-dfgm.csv with venue_monthly_receipts_long.csv","reghdfe lnreal d_b1 d_b2 d_b3, absorb(venue month) vce(cluster venue). Coefficient on the innermost band, venues within one mile of the Moody Center, after 2022-04, relative to venues more than four miles away. 10 venues in the band; 2589 venue-months in 53 clusters; clustered SE 0.246, p 0.2356. The joint test that the three band coefficients are equal has p = 0.9111. Sample is 2018-01 to 2019-12 and 2022-07 to 2025-12, so the pandemic window is excluded. Distance is not random; these are central-city rooms compared with suburban ones.","quasi"
"quasi_moody_band2_coef","-.3846795355755954","-0.385","log points","01_evidence/08_venues_ecosystem/austin_sound_ordinance_permits_geo_g3rj-dfgm.csv with venue_monthly_receipts_long.csv","Same specification, venues one to two miles from the arena, 28 venues, clustered SE 0.273.","quasi"
"quasi_moody_band3_coef","-.287989206444586","-0.288","log points","01_evidence/08_venues_ecosystem/austin_sound_ordinance_permits_geo_g3rj-dfgm.csv with venue_monthly_receipts_long.csv","Same specification, venues two to four miles from the arena, 9 venues, clustered SE 0.264. The reference group is the 6 venues more than four miles away.","quasi"
"quasi_moody_logdist_coef",".1265364929130433","0.127","log points per log mile","01_evidence/08_venues_ecosystem/austin_sound_ordinance_permits_geo_g3rj-dfgm.csv with venue_monthly_receipts_long.csv","Continuous version of the same comparison: post-opening interacted with log distance in miles, so nothing rests on where the band cuts fall. Clustered SE 0.171.","quasi"
"quasi_moody_joint_p",".9111274796851595","0.9111","p-value","01_evidence/08_venues_ecosystem/austin_sound_ordinance_permits_geo_g3rj-dfgm.csv with venue_monthly_receipts_long.csv","Joint test that the three distance-band coefficients equal one another, which is the test of whether the post-opening pattern varies with distance at all. It does not reject anywhere near conventional levels, and none of the three band coefficients is individually distinguishable from zero either, so what the design finds is a flat profile rather than a proximity effect. The reference group is only 6 venues, which is thin, and that is part of why every band standard error is large.","quasi"
"quasi_moody_geocoded","67","67 of 114","count","01_evidence/08_venues_ecosystem/austin_sound_ordinance_permits_geo_g3rj-dfgm.csv","Panel venues carrying a coordinate, from the City of Austin geocoded sound-ordinance permit file matched on a normalised street address then on a normalised venue name. Venues never permitted for amplified sound have no coordinate and are absent from the distance design only.","quasi"
"quasi_i35_lostwell_pre","711375.4095079129","\textdollar{}711,375","2025 dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Real receipts at The Lost Well over the twelve months ending with its 2024-10-27 closure to the I-35 expansion, 12 months of filings. The permit resumed filing in 2025-10 from a new address on Airport Boulevard, so this venue relocated rather than disappeared.","quasi"
"quasi_i35_lostwell_post","137027","\textdollar{}137,027","2025 dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Real receipts at The Lost Well over the fourteen months after the closure, 12 months of filings, spanning both the closed period and the relocated operation.","quasi"
"quasi_rent_environment_context","-23.5","-23.5%","percent change in real market rent","09_cost_of_living cost-of-living module, Zillow observed rent index deflated to 2025 dollars","Austin real market rent peaked in December 2021 and has fallen 23.5 percent since, the steepest decline among five comparison metros. Every post-shock window in this module sits inside that decline: the SVOG awards land mid-2021, the Moody Center opens April 2022, and the Live Music Fund venue grants land in 2024. A reader should not assume the later part of the panel is a tightening rent environment for venues. It is not, at least not in the residential market that the Zillow series measures. Commercial rent for venue space is not measured anywhere in this evidence base, which is a real gap, and the 2022 Austin Music Census puts property tax rather than rent at the top of the venue cost list.","quasi"
"quasi_i35_venues","2","2 venues","count","01_evidence/08_venues_ecosystem/_findings.md finding 23","Venues removed by the I-35 expansion within fifteen days: The Lost Well on 2024-10-27 and Stars Cafe on 2024-11-10. Stars Cafe has 0 rows in the mixed-beverage panel, so only one of the two can be observed in receipts at all. Two units cannot support a design; this is reported as a documented non-market exit, where the closure was decided by a highway project rather than by demand, rent or licensing.","quasi"
